                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 1.2079,                0.82369,                  1.263,                0.65629,                0.38451,                0.41554,                0.27501,                 1.2511,                0.96895,                 1.3366,             0.00026189,             0.00026189,             0.00026189
                    108,                 1.2139,                0.82671,                 1.2643,                0.64048,                 0.3915,                0.41836,                0.27622,                 1.2761,                 1.0157,                 1.3295,              0.0002594,              0.0002594,              0.0002594
                    109,                 1.2269,                0.82728,                 1.2537,                0.63287,                0.39283,                0.41954,                0.27754,                 1.2813,                0.98152,                 1.3214,             0.00025691,             0.00025691,             0.00025691
                    110,                 1.2165,                0.82533,                 1.2493,                0.68523,                0.37978,                0.42065,                 0.2797,                 1.2569,                0.96662,                 1.3369,             0.00025442,             0.00025442,             0.00025442
                    111,                 1.2227,                0.82503,                 1.2707,                0.66433,                0.39743,                0.42577,                 0.2824,                 1.2591,                0.98317,                  1.319,             0.00025193,             0.00025193,             0.00025193
                    112,                 1.2014,                0.81805,                  1.265,                0.67696,                0.37815,                0.41749,                0.27674,                 1.2634,                0.97952,                 1.3314,             0.00024943,             0.00024943,             0.00024943
                    113,                 1.2155,                0.82278,                 1.2514,                0.65894,                0.39128,                0.41805,                0.27735,                   1.25,                0.97454,                 1.3441,             0.00024694,             0.00024694,             0.00024694
                    114,                 1.1928,                 0.7999,                 1.2514,                0.65735,                 0.3885,                0.42024,                0.27842,                 1.2631,                 0.9675,                 1.3259,             0.00024445,             0.00024445,             0.00024445
                    115,                  1.202,                0.81105,                 1.2582,                0.68809,                0.38487,                0.42438,                0.28526,                 1.2338,                 0.9652,                 1.3137,             0.00024196,             0.00024196,             0.00024196
                    116,                 1.2057,                0.81347,                 1.2684,                0.66573,                0.38956,                0.42432,                0.28276,                 1.2483,                0.96985,                 1.3556,             0.00023947,             0.00023947,             0.00023947
                    117,                 1.2119,                 0.8107,                 1.2698,                0.64009,                0.39948,                0.42201,                0.27833,                 1.2617,                 0.9712,                 1.3111,             0.00023698,             0.00023698,             0.00023698
                    118,                 1.1997,                0.80842,                 1.2578,                0.66103,                 0.3972,                0.42503,                0.28374,                 1.2522,                0.96362,                 1.3284,             0.00023449,             0.00023449,             0.00023449
                    119,                 1.2039,                 0.8099,                 1.2483,                0.67679,                0.39295,                0.42891,                0.28464,                 1.2389,                0.96899,                 1.3415,             0.00023199,             0.00023199,             0.00023199
                    120,                 1.1966,                0.80752,                 1.2674,                0.66528,                0.39389,                0.42576,                0.28339,                 1.2419,                0.96605,                 1.3288,             0.00023091,             0.00023091,             0.00023091
                    121,                 1.1875,                0.81901,                 1.2565,                0.64424,                0.39292,                0.41816,                0.27746,                 1.2466,                0.96001,                 1.3247,             0.00022701,             0.00022701,             0.00022701
                    122,                 1.1885,                0.80278,                 1.2625,                0.69037,                 0.3782,                0.42206,                0.28267,                 1.2417,                0.96187,                 1.3351,             0.00022595,             0.00022595,             0.00022595
                    123,                 1.2147,                0.82962,                 1.2516,                 0.6503,                 0.3942,                0.41969,                0.28235,                 1.2386,                 0.9731,                 1.3177,             0.00022347,             0.00022347,             0.00022347
                    124,                  1.185,                0.79995,                 1.2461,                0.68023,                0.38966,                0.42473,                0.28451,                 1.2404,                0.95299,                  1.308,               0.000221,               0.000221,               0.000221
                    125,                 1.1831,                0.79006,                 1.2346,                0.66584,                0.39323,                0.42631,                0.28325,                 1.2478,                0.96558,                 1.3253,             0.00021852,             0.00021852,             0.00021852
                    126,                 1.1895,                0.79282,                 1.2359,                0.67496,                0.38675,                0.42611,                0.28429,                 1.2386,                0.96682,                 1.3135,             0.00021604,             0.00021604,             0.00021604
                    127,                 1.1867,                0.79572,                 1.2499,                0.67055,                0.40109,                0.42891,                0.28681,                 1.2408,                  0.955,                 1.3143,             0.00021356,             0.00021356,             0.00021356
                    128,                 1.1732,                0.78472,                 1.2286,                0.66556,                0.39051,                0.42911,                0.28919,                 1.2295,                0.95971,                 1.3135,             0.00021108,             0.00021108,             0.00021108
                    129,                 1.1636,                 0.7794,                 1.2307,                0.64872,                0.40248,                0.42802,                0.28502,                 1.2397,                0.95313,                 1.3147,              0.0002086,              0.0002086,              0.0002086
                    130,                 1.1689,                  0.787,                 1.2328,                0.64631,                0.40277,                0.42898,                 0.2882,                  1.223,                0.94226,                 1.3229,             0.00020612,             0.00020612,             0.00020612
                    131,                 1.1718,                0.78136,                 1.2284,                0.65695,                0.40151,                0.43025,                0.28718,                 1.2391,                0.96368,                 1.3133,             0.00020209,             0.00020209,             0.00020209
                    132,                 1.1625,                0.79523,                 1.2618,                0.68628,                0.38719,                0.42503,                0.28261,                 1.2336,                0.95868,                 1.3083,             0.00020116,             0.00020116,             0.00020116
                    133,                 1.1613,                0.77149,                 1.2261,                0.65627,                0.39403,                0.42277,                0.28225,                 1.2326,                0.96372,                 1.3139,             0.00019711,             0.00019711,             0.00019711
                    134,                 1.1622,                0.78456,                  1.246,                0.66043,                0.39305,                0.42772,                0.28829,                 1.2215,                 0.9444,                 1.3043,             0.00019462,             0.00019462,             0.00019462
                    135,                 1.1504,                0.76463,                 1.2412,                0.68054,                0.39332,                0.43096,                0.28932,                 1.2156,                0.95269,                 1.3106,             0.00019213,             0.00019213,             0.00019213
                    136,                 1.1771,                0.78517,                 1.2437,                 0.6815,                0.39695,                0.43284,                0.29129,                 1.2295,                0.96301,                 1.3083,             0.00018964,             0.00018964,             0.00018964
                    137,                 1.1335,                0.75554,                 1.2268,                0.67644,                0.39822,                0.42783,                0.28827,                 1.2248,                0.95963,                 1.3041,             0.00018715,             0.00018715,             0.00018715
                    138,                 1.1596,                0.77046,                 1.2398,                0.65104,                0.40247,                0.42761,                0.28683,                 1.2237,                0.95649,                 1.3084,             0.00018465,             0.00018465,             0.00018465
                    139,                 1.1604,                0.76901,                  1.228,                0.66472,                0.40485,                0.43513,                0.29141,                 1.2316,                0.96599,                 1.3079,             0.00018216,             0.00018216,             0.00018216
                    140,                 1.1487,                0.76712,                 1.2506,                0.68359,                0.39178,                0.42836,                0.28849,                  1.209,                0.93101,                 1.3056,             0.00017967,             0.00017967,             0.00017967
                    141,                 1.1437,                0.76808,                   1.24,                0.65313,                0.40268,                0.43059,                0.29162,                 1.2135,                0.94104,                  1.309,             0.00017718,             0.00017718,             0.00017718
                    142,                 1.1842,                0.79773,                 1.2416,                0.63559,                0.40175,                0.42483,                0.28614,                 1.2098,                0.95641,                 1.3104,             0.00017469,             0.00017469,             0.00017469
                    143,                 1.1534,                0.76212,                 1.2125,                0.68262,                0.39448,                0.42932,                0.28933,                 1.2211,                0.93991,                 1.3197,              0.0001722,              0.0001722,              0.0001722
                    144,                 1.1335,                0.76428,                 1.2311,                0.67717,                0.40049,                0.43444,                0.29318,                 1.2164,                 0.9515,                 1.3104,              0.0001697,              0.0001697,              0.0001697
                    145,                 1.1272,                0.74944,                  1.224,                0.65094,                0.40648,                0.42886,                0.28766,                 1.2182,                0.93473,                 1.3296,             0.00016721,             0.00016721,             0.00016721
                    146,                 1.1621,                0.76652,                 1.2161,                 0.7071,                0.39492,                 0.4312,                0.28952,                 1.2178,                0.93752,                 1.3227,             0.00016472,             0.00016472,             0.00016472
                    147,                 1.1689,                 0.7773,                 1.2393,                0.67238,                0.40042,                0.43214,                0.29114,                 1.2074,                0.95046,                 1.3107,             0.00016223,             0.00016223,             0.00016223
                    148,                 1.1332,                0.75063,                 1.2257,                0.65166,                0.40861,                 0.4296,                0.28816,                 1.2089,                0.94672,                 1.3281,             0.00015974,             0.00015974,             0.00015974
